s,criterion,q_hat,se
1.0,last_k,0.5333333333333333,0.04073400617738524
1.0,posterior_gap,0.5266666666666666,0.04076672571995359
10.0,last_k,0.5133333333333333,0.04081031097016392
10.0,posterior_gap,0.5066666666666667,0.04082120001139568
50.0,last_k,0.5533333333333333,0.04059191672862596
50.0,posterior_gap,0.54,0.04069397989875161
200.0,last_k,0.5866666666666667,0.04020687245475073
200.0,posterior_gap,0.5333333333333333,0.04073400617738524
500.0,last_k,0.6133333333333333,0.039762256437946744
500.0,posterior_gap,0.52,0.040792156108742275
1000.0,last_k,0.62,0.0396316371938716
1000.0,posterior_gap,0.35333333333333333,0.03902895411434003
3000.0,last_k,0.56,0.04052982440952177
3000.0,posterior_gap,0.013333333333333334,0.009365025558091324
10000.0,last_k,0.5133333333333333,0.04081031097016392
10000.0,posterior_gap,0.0,0.0
