s,criterion,q_hat,se
1.0,last_k,0.5466666666666666,0.028741504380843986
1.0,posterior_gap,0.54,0.02877498913987632
10.0,last_k,0.5066666666666667,0.028864947344230254
10.0,posterior_gap,0.5066666666666667,0.028864947344230254
50.0,last_k,0.6,0.0282842712474619
50.0,posterior_gap,0.5966666666666667,0.028322873886404698
200.0,last_k,0.64,0.027712812921102038
200.0,posterior_gap,0.6033333333333334,0.02824430457173164
500.0,last_k,0.6833333333333333,0.026856959922826266
500.0,posterior_gap,0.5566666666666666,0.028681520699391616
1000.0,last_k,0.7033333333333334,0.02637268508359584
1000.0,posterior_gap,0.54,0.02877498913987632
3000.0,last_k,0.7366666666666667,0.025428913260885325
3000.0,posterior_gap,0.27,0.025632011235952594
10000.0,last_k,0.7133333333333334,0.02610803764417444
10000.0,posterior_gap,0.0033333333333333335,0.003327773140415986
