s,criterion,q_hat,se
1.0,last_k,0.5266666666666666,0.012891570602242095
1.0,posterior_gap,0.486,0.012904882796833142
5.0,last_k,0.5186666666666667,0.012900944553418186
5.0,posterior_gap,0.4033333333333333,0.012666374265630912
10.0,last_k,0.512,0.012906225887790229
10.0,posterior_gap,0.32666666666666666,0.012109378061528885
20.0,last_k,0.49466666666666664,0.012909210034068844
20.0,posterior_gap,0.206,0.010442349671729379
50.0,last_k,0.5046666666666667,0.012909382175307545
50.0,posterior_gap,0.058,0.006035229904485826
100.0,last_k,0.49533333333333335,0.012909382175307543
100.0,posterior_gap,0.011333333333333334,0.002733116522566487
150.0,last_k,0.488,0.012906225887790229
150.0,posterior_gap,0.0,0.0
200.0,last_k,0.4806666666666667,0.012900289976643218
200.0,posterior_gap,0.0,0.0
