s,criterion,q_hat,se
1.0,last_k,0.6033333333333334,0.02824430457173164
1.0,posterior_gap,0.5733333333333334,0.02855533938526046
100.0,last_k,0.9033333333333333,0.017060893120645067
100.0,posterior_gap,0.6333333333333333,0.02782218672344203
300.0,last_k,0.9066666666666666,0.01679506100239217
300.0,posterior_gap,0.2966666666666667,0.026372685083595842
500.0,last_k,0.91,0.016522711641858305
500.0,posterior_gap,0.07,0.014730919862656237
800.0,last_k,0.9233333333333333,0.015361085995559135
800.0,posterior_gap,0.01,0.005744562646538029
1200.0,last_k,0.9366666666666666,0.014062031885212777
1200.0,posterior_gap,0.0,0.0
2000.0,last_k,0.9333333333333333,0.014401645996461909
2000.0,posterior_gap,0.0,0.0
5000.0,last_k,0.93,0.014730919862656231
5000.0,posterior_gap,0.0,0.0
