s,criterion,q_hat,se
1.0,last_k,0.6686666666666666,0.01215323154708397
1.0,posterior_gap,0.6373333333333333,0.012413421649047334
5.0,last_k,0.754,0.011120071942213323
5.0,posterior_gap,0.698,0.01185456311580763
10.0,last_k,0.8106666666666666,0.010115539933594654
10.0,posterior_gap,0.706,0.011763332861056002
20.0,last_k,0.8633333333333333,0.008869005539476187
20.0,posterior_gap,0.6553333333333333,0.012271146524959966
50.0,last_k,0.8866666666666667,0.008184900279941874
50.0,posterior_gap,0.4086666666666667,0.012692733412527085
100.0,last_k,0.88,0.008390470785361212
100.0,posterior_gap,0.106,0.007948333158593694
150.0,last_k,0.8906666666666667,0.0080572764445378
150.0,posterior_gap,0.024,0.00395170849127311
200.0,last_k,0.8786666666666667,0.00843056168771514
200.0,posterior_gap,0.004,0.0016297239029970689
